"Rank","Player","Team","Bye","POS","Yahoo","Fantrax","FFC","Sleeper","AVG"
"293","Randall Cobb","GB","14","WR94","","336","","255","295.5"
"294","Cedrick Wilson Jr.","MIA","11","WR95","","257","","","257.0"
"295","Olamide Zaccheaus","ATL","14","WR96","","259","","","259.0"
"296","Marcus Mariota","ATL","14","QB32","","295","","259","277.0"
"297","Marquez Callaway","NO","14","WR97","","260","","","260.0"
"298","Mitch Trubisky","PIT","9","QB33","","309","","263","286.0"
"299","Ke'Shawn Vaughn","TB","11","RB85","","264","","","264.0"
"300","Mo Alie-Cox","IND","14","TE34","","333","","266","299.5"
"301","Phillip Lindsay","IND","14","RB86","","267","","","267.0"
"302","Anthony McFarland Jr.","PIT","9","RB87","","268","","","268.0"
"303","Bryan Edwards","ATL","14","WR98","","379","","268","323.5"
"304","Sterling Shepard","NYG","9","WR99","","269","","","269.0"
"305","John Metchie III","HOU","6","WR100","","429","","269","349.0"
"306","Robert Turbin","","","RB88","","","","271","271.0"
"307","Justyn Ross","KC","8","WR101","","271","","","271.0"
"308","Alex Smith","","","QB34","","","","272","272.0"
"309","Jalen Guyton","LAC","8","WR102","","272","","","272.0"
"310","Adam Trautman","NO","14","TE35","","273","","","273.0"
"311","Jerrion Ealy","KC","8","RB89","","318","","273","295.5"
"312","Francis Owusu","","","WR103","","","","274","274.0"
"313","Jordan Williams-Lambert","","","WR104","","","","275","275.0"
"314","Amari Rodgers","GB","14","WR105","","275","","","275.0"
"315","A.J. Richardson","","","WR106","","","","276","276.0"
"316","Wilton Speight","","","QB35","","","","277","277.0"
"317","Nate Iese","","","TE36","","","","278","278.0"
"318","Luis Perez","","","QB36","","","","279","279.0"
"319","Abram Smith","NO","14","RB90","","279","","","279.0"
"320","James Develin","","","RB91","","","","280","280.0"
"321","Tony Jones Jr.","NO","14","RB92","","280","","","280.0"
"322","Akrum Wadley","","","RB93","","","","281","281.0"
"323","Tyler Huntley","BAL","10","QB37","","281","","","281.0"
"324","James Washington","DAL","9","WR107","","282","","","282.0"
"325","Kyle Philips","TEN","6","WR108","","286","","","286.0"
"326","Pierre Strong Jr.","NE","10","RB94","","287","","","287.0"
"327","Calvin Austin III","PIT","9","WR109","","289","","","289.0"
"328","Demarcus Robinson","BAL","10","WR110","","292","","","292.0"
"329","Danny Gray","SF","9","WR111","","294","","","294.0"
"330","Daniel Bellinger","NYG","9","TE37","","296","","","296.0"
"331","Cairo Santos","CHI","14","K23","","298","","","298.0"
"332","Cade Otton","TB","11","TE38","","300","","","300.0"
"333","Desmond Ridder","ATL","14","QB38","","301","","","301.0"
"334","Jacoby Brissett","CLE","9","QB39","","302","","","302.0"
"335","Foster Moreau","LV","6","TE39","","303","","","303.0"
"336","Velus Jones Jr.","CHI","14","WR112","","305","","","305.0"
"337","Arizona Cardinals","DST","13","DST30","","307","","","307.0"
"338","Duke Johnson Jr.","BUF","7","RB95","","308","","","308.0"
"339","KaVontae Turpin","DAL","9","WR113","","310","","","310.0"
"340","Rashard Higgins","CAR","13","WR114","","311","","","311.0"
"341","Geno Smith","SEA","11","QB40","","312","","","312.0"
"342","Snoop Conner","JAC","11","RB96","","313","","","313.0"
"343","Josh Reynolds","DET","6","WR115","","314","","","314.0"
"344","David Johnson","","","RB97","","316","","","316.0"
"345","O.J. Howard","BUF","7","TE40","","319","","","319.0"
"346","Josiah Deguara","GB","14","TE41","","321","","","321.0"
"347","Antonio Brown","","","WR116","","322","","","322.0"
"348","Jauan Jennings","SF","9","WR117","","323","","","323.0"
"349","Khalil Shakir","BUF","7","WR118","","325","","","325.0"
"350","Malik Willis","TEN","6","QB41","","327","","","327.0"
"351","Byron Pringle","CHI","14","WR119","","328","","","328.0"
"352","Andy Dalton","NO","14","QB42","","329","","","329.0"
"353","Cam Sims","WAS","14","WR120","","331","","","331.0"
"354","Jaelon Darden","TB","11","WR121","","334","","","334.0"
"355","N'Keal Harry","CHI","14","WR122","","335","","","335.0"
"356","Josh Gordon","KC","8","WR123","","337","","","337.0"
"357","Zack Moss","BUF","7","RB98","","338","","","338.0"
"358","Jalen Nailor","MIN","7","WR124","","339","","","339.0"
"359","Graham Gano","NYG","9","K24","","340","","","340.0"
"360","Jody Fortson","KC","8","WR125","","342","","","342.0"
"361","Jake Kumerow","BUF","7","WR126","","343","","","343.0"
"362","James Proche II","BAL","10","WR127","","344","","","344.0"
"363","Tyler Conklin","NYJ","10","TE42","","346","","","346.0"
"364","Cole Beasley","","","WR128","","347","","","347.0"
"365","Emmanuel Sanders","","","WR129","","348","","","348.0"
"366","Jake Funk","LAR","7","RB99","","349","","","349.0"
"367","Devontae Booker","","","RB100","","351","","","351.0"
"368","Marquise Goodwin","SEA","11","WR130","","352","","","352.0"
"369","Nelson Agholor","NE","10","WR131","","353","","","353.0"
"370","Devonta Freeman","","","RB101","","354","","","354.0"
"371","Zach Pascal","PHI","7","WR132","","355","","","355.0"
"372","Greg Dulcich","DEN","9","TE43","","357","","","357.0"
"373","T.Y. Hilton","","","WR133","","359","","","359.0"
"374","Tommy Tremble","CAR","13","TE44","","360","","","360.0"
"375","Jordan Howard","","","RB102","","362","","","362.0"
"376","Latavius Murray","","","RB103","","364","","","364.0"
"377","Kai Forbath","LAR","7","K25","","365","","","365.0"
"378","Drew Lock","SEA","11","QB43","","366","","","366.0"
"379","Equanimeous St. Brown","CHI","14","WR134","","367","","","367.0"
"380","Jaret Patterson","WAS","14","RB104","","368","","","368.0"
"381","Michael Badgley","","","K26","","369","","","369.0"
"382","Rex Burkhead","HOU","6","RB105","","370","","","370.0"
"383","Mason Crosby","GB","14","K27","","371","","","371.0"
"384","Quez Watkins","PHI","7","WR135","","372","","","372.0"
"385","Wayne Gallman Jr.","","","RB106","","373","","","373.0"
"386","Dan Arnold","JAC","11","TE45","","375","","","375.0"
"387","Giovani Bernard","TB","11","RB107","","376","","","376.0"
"388","Tre'Quan Smith","NO","14","WR136","","377","","","377.0"
"389","Braxton Berrios","NYJ","10","WR137","","378","","","378.0"
"390","Jared Cook","","","TE46","","380","","","380.0"
"391","Randy Bullock","TEN","6","K28","","382","","","382.0"
"392","Kalif Raymond","DET","6","WR138","","383","","","383.0"
"393","Brandon Bolden","LV","6","RB108","","384","","","384.0"
"394","Derrick Gore","","","RB109","","385","","","385.0"
"395","Sam Darnold","CAR","13","QB44","","387","","","387.0"
"396","Tevin Coleman","NYJ","10","RB110","","388","","","388.0"
"397","Nick Westbrook-Ikhine","TEN","6","WR139","","389","","","389.0"
"398","Ty Johnson","NYJ","10","RB111","","390","","","390.0"
"399","Breshad Perriman","TB","11","WR140","","391","","","391.0"
"400","Deonte Harty","NO","14","WR141","","392","","","392.0"
"401","Raheem Blackshear","BUF","7","RB112","","393","","","393.0"
"402","Roberto Aguayo","","","K29","","394","","","394.0"
"403","Brayden Lenius","","","TE47","","395","","","395.0"
"404","Juwan Johnson","NO","14","TE48","","396","","","396.0"
"405","Isaiah Likely","BAL","10","TE49","","397","","","397.0"
"406","Lirim Hajrullahu","","","K30","","398","","","398.0"
"407","Darius Slayton","NYG","9","WR142","","399","","","399.0"
"408","Ryan Santoso","NYG","9","K31","","400","","","400.0"
"409","Donald Parham Jr.","LAC","8","TE50","","401","","","401.0"
"410","Benny Snell Jr.","PIT","9","RB113","","402","","","402.0"
"411","Ty Montgomery","NE","10","RB114","","403","","","403.0"
"412","Tutu Atwell","LAR","7","WR143","","404","","","404.0"
"413","DeeJay Dallas","SEA","11","RB115","","405","","","405.0"
"414","Qadree Ollison","ATL","14","RB116","","406","","","406.0"
"415","Dyami Brown","WAS","14","WR144","","407","","","407.0"
"416","Jaylen Warren","PIT","9","RB117","","408","","","408.0"
"417","Kene Nwangwu","MIN","7","RB118","","409","","","409.0"
"418","Travis Homer","SEA","11","RB119","","410","","","410.0"
"419","Lynn Bowden Jr.","MIA","11","WR145","","411","","","411.0"
"420","Justice Hill","BAL","10","RB120","","412","","","412.0"
"421","Kyle Juszczyk","SF","9","RB121","","413","","","413.0"
"422","Cole Turner","WAS","14","TE51","","414","","","414.0"
"423","Blaine Gabbert","TB","11","QB45","","415","","","415.0"
"424","Dee Eskridge","SEA","11","WR146","","416","","","416.0"
"425","Jordan Mason","SF","9","RB122","","417","","","417.0"
"426","Zane Gonzalez","CAR","13","K32","","418","","","418.0"
"427","Tyrod Taylor","NYG","9","QB46","","419","","","419.0"
"428","Jason Myers","SEA","11","K33","","420","","","420.0"
